Ville,Station,Année,Mois,Indicateur,Valeur
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. maxi extrême,13.7
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. maxi extrême,16.6
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. maxi moyennes,9.6
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. maxi moyennes,10.1
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. moy moyennes,5.2
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. moy moyennes,8.1
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. mini moyennes,5.2
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. mini moyennes,6.2
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. mini extrême,1.8
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. mini extrême,-1.4
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. maxi minimale,5.9
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. maxi minimale,0.6
Paris,paris-20eme-porte-de-vincennes,2021,nov,Tempé. mini maximale,10.8
Paris,paris-20eme-porte-de-vincennes,2021,dec,Tempé. mini maximale,13.8
Paris,paris-20eme-porte-de-vincennes,2021,nov,DJU (chauffagiste),199.8
Paris,paris-20eme-porte-de-vincennes,2021,dec,DJU (chauffagiste),305.7
Paris,paris-20eme-porte-de-vincennes,2021,nov,Ensoleillement (heures),23.8
Paris,paris-20eme-porte-de-vincennes,2021,dec,Ensoleillement (heures),45.7
Paris,paris-20eme-porte-de-vincennes,2021,nov,Cumul Précips,14.4
Paris,paris-20eme-porte-de-vincennes,2021,dec,Cumul Précips,84.6
Paris,paris-20eme-porte-de-vincennes,2021,nov,Max en 24h de précips,5.0
Paris,paris-20eme-porte-de-vincennes,2021,dec,Max en 24h de précips,15.6
Paris,paris-20eme-porte-de-vincennes,2021,nov,Max en 5j de précips,9.6
Paris,paris-20eme-porte-de-vincennes,2021,dec,Max en 5j de précips,28.0
Paris,paris-20eme-porte-de-vincennes,2021,nov,Moyenne ≥ 1 de précips [?],2.2
Paris,paris-20eme-porte-de-vincennes,2021,dec,Moyenne ≥ 1 de précips [?],5.5
Paris,paris-20eme-porte-de-vincennes,2021,nov,Rafale maximale,38.6
Paris,paris-20eme-porte-de-vincennes,2021,dec,Rafale maximale,41.8
Paris,paris-20eme-porte-de-vincennes,2021,nov,Pression minimale,986.7
Paris,paris-20eme-porte-de-vincennes,2021,dec,Pression minimale,989.7
Paris,paris-20eme-porte-de-vincennes,2021,nov,Pression maximale,1033.2
Paris,paris-20eme-porte-de-vincennes,2021,dec,Pression maximale,1037.7
Paris,paris-20eme-porte-de-vincennes,2021,nov,Mise à jour,2024-04-21
Paris,paris-20eme-porte-de-vincennes,2021,dec,Mise à jour,2024-04-21
Paris,paris-5eme-tour-zamansky-jussieu,2023,janv,Tempé. maxi extrême,14.7
Paris,paris-5eme-tour-zamansky-jussieu,2023,fev,Tempé. maxi extrême,16.2
Paris,paris-5eme-tour-zamansky-jussieu,2023,mars,Tempé. maxi extrême,19.9
Paris,paris-5eme-tour-zamansky-jussieu,2023,avr,Tempé. maxi extrême,21.3
Paris,paris-5eme-tour-zamansky-jussieu,2023,mai,Tempé. maxi extrême,25.2
Paris,paris-5eme-tour-zamansky-jussieu,2023,juin,Tempé. maxi extrême,32.4
Paris,paris-5eme-tour-zamansky-jussieu,2023,juil,Tempé. maxi extrême,32.6
Paris,paris-5eme-tour-zamansky-jussieu,2023,août,Tempé. maxi extrême,30.8
Paris,paris-5eme-tour-zamansky-jussieu,2023,sept,Tempé. maxi extrême,34.1
Paris,paris-5eme-tour-zamansky-jussieu,2023,oct,Tempé. maxi extrême,27.4
Paris,paris-5eme-tour-zamansky-jussieu,2023,nov,Tempé. maxi extrême,16.8
Paris,paris-5eme-tour-zamansky-jussieu,2023,dec,Tempé. maxi extrême,12.9
Paris,paris-5eme-tour-zamansky-jussieu,2023,janv,Tempé. maxi moyennes,7.9
Paris,paris-5eme-tour-zamansky-jussieu,2023,fev,Tempé. maxi moyennes,10.0
Paris,paris-5eme-tour-zamansky-jussieu,2023,mars,Tempé. maxi moyennes,12.3
Paris,paris-5eme-tour-zamansky-jussieu,2023,avr,Tempé. maxi moyennes,14.2
Paris,paris-5eme-tour-zamansky-jussieu,2023,mai,Tempé. maxi moyennes,19.1
Paris,paris-5eme-tour-zamansky-jussieu,2023,juin,Tempé. maxi moyennes,26.2
